block_number,duration,CPU Usage,IP
2,0.3518528938293457,82.2,http://192.168.0.130:5000
3,0.6191074848175049,72.0,http://192.168.0.130:5000
4,0.2766134738922119,100.0,http://192.168.0.130:5000
5,1.1808505058288574,71.4,http://192.168.0.130:5000
6,0.6648423671722412,57.1,http://192.168.0.130:5000
7,0.9597136974334717,88.8,http://192.168.0.130:5000
8,0.2484433650970459,6.2,http://192.168.0.130:5000
9,0.6211152076721191,35.0,http://192.168.0.130:5000
10,1.1711130142211914,48.0,http://192.168.0.130:5000
11,0.4148383140563965,40.0,http://192.168.0.130:5000
12,0.6539549827575684,58.9,http://192.168.0.130:5000
13,0.24972891807556152,6.2,http://192.168.0.130:5000
14,0.29221653938293457,13.9,http://192.168.0.130:5000
15,0.4895169734954834,31.8,http://192.168.0.130:5000
16,1.471177577972412,48.4,http://192.168.0.130:5000
17,1.0539472103118896,52.9,http://192.168.0.130:5000
18,0.7212429046630859,34.8,http://192.168.0.130:5000
19,0.6805520057678223,36.0,http://192.168.0.130:5000
20,1.0160841941833496,42.4,http://192.168.0.130:5000
21,1.7357103824615479,43.8,http://192.168.0.130:5000
22,1.1875584125518799,53.6,http://192.168.0.130:5000
23,0.5254724025726318,29.4,http://192.168.0.130:5000
24,0.3114645481109619,87.5,http://192.168.0.130:5000
25,0.39069604873657227,70.0,http://192.168.0.130:5000
26,0.543194055557251,32.9,http://192.168.0.130:5000
27,1.4021003246307373,49.4,http://192.168.0.130:5000
28,0.46143198013305664,29.5,http://192.168.0.130:5000
29,1.27297043800354,41.5,http://192.168.0.130:5000
30,1.0787672996520996,65.5,http://192.168.0.130:5000
31,0.4821736812591553,88.7,http://192.168.0.130:5000
32,0.30811619758605957,17.5,http://192.168.0.130:5000
33,0.3013167381286621,26.8,http://192.168.0.130:5000
34,0.24513030052185059,9.7,http://192.168.0.130:5000
35,0.5790269374847412,32.9,http://192.168.0.130:5000
36,0.8155021667480469,56.6,http://192.168.0.130:5000
37,1.3406171798706055,41.9,http://192.168.0.130:5000
38,0.706402063369751,36.0,http://192.168.0.130:5000
39,1.9333686828613281,68.4,http://192.168.0.130:5000
40,0.2602090835571289,25.7,http://192.168.0.130:5000
41,0.5105082988739014,29.4,http://192.168.0.130:5000
42,0.3653733730316162,19.1,http://192.168.0.130:5000
43,0.42393922805786133,36.8,http://192.168.0.130:5000
44,0.24979758262634277,5.9,http://192.168.0.130:5000
45,0.5133559703826904,27.3,http://192.168.0.130:5000
46,0.5165162086486816,33.3,http://192.168.0.130:5000
47,0.3645296096801758,19.6,http://192.168.0.130:5000
48,1.5369353294372559,44.2,http://192.168.0.130:5000
49,0.25649547576904297,9.1,http://192.168.0.130:5000
50,1.7180984020233154,45.2,http://192.168.0.130:5000
51,0.5645534992218018,31.0,http://192.168.0.130:5000
52,0.790334939956665,40.4,http://192.168.0.130:5000
53,2.4164505004882812,46.0,http://192.168.0.130:5000
54,0.7348198890686035,36.2,http://192.168.0.130:5000
55,0.21919465065002441,0.0,http://192.168.0.130:5000
56,2.553661346435547,48.6,http://192.168.0.130:5000
57,0.2867755889892578,16.7,http://192.168.0.130:5000
58,1.7631077766418457,46.9,http://192.168.0.130:5000
59,1.5225281715393066,46.9,http://192.168.0.130:5000
60,0.2512853145599365,10.0,http://192.168.0.130:5000
61,0.5942656993865967,32.1,http://192.168.0.130:5000
62,0.3631887435913086,27.1,http://192.168.0.130:5000
63,2.1864662170410156,45.9,http://192.168.0.130:5000
64,1.5446829795837402,43.3,http://192.168.0.130:5000
65,0.6469442844390869,34.9,http://192.168.0.130:5000
66,0.2124478816986084,3.6,http://192.168.0.130:5000
67,0.9326252937316895,39.7,http://192.168.0.130:5000
68,0.6776478290557861,34.1,http://192.168.0.130:5000
69,0.6086940765380859,32.1,http://192.168.0.130:5000
70,0.632155179977417,32.5,http://192.168.0.130:5000
71,0.5463924407958984,36.1,http://192.168.0.130:5000
72,0.776820182800293,42.0,http://192.168.0.130:5000
73,1.1555736064910889,41.5,http://192.168.0.130:5000
74,0.4510481357574463,27.9,http://192.168.0.130:5000
75,0.5137379169464111,30.9,http://192.168.0.130:5000
76,0.77748703956604,38.2,http://192.168.0.130:5000
77,0.663726806640625,34.9,http://192.168.0.130:5000
78,0.531364917755127,32.9,http://192.168.0.130:5000
79,0.4091813564300537,27.3,http://192.168.0.130:5000
80,0.595282793045044,34.6,http://192.168.0.130:5000
81,0.7622759342193604,35.7,http://192.168.0.130:5000
82,1.0564923286437988,47.4,http://192.168.0.130:5000
83,0.9932901859283447,40.5,http://192.168.0.130:5000
84,1.6767833232879639,43.5,http://192.168.0.130:5000
85,0.9268083572387695,40.7,http://192.168.0.130:5000
86,0.464740514755249,26.7,http://192.168.0.130:5000
87,0.218491792678833,3.3,http://192.168.0.130:5000
88,0.946333646774292,40.2,http://192.168.0.130:5000
89,0.24957895278930664,8.8,http://192.168.0.130:5000
90,1.1207175254821777,40.4,http://192.168.0.130:5000
91,0.9148995876312256,37.5,http://192.168.0.130:5000
92,2.0208187103271484,49.8,http://192.168.0.130:5000
93,0.24244189262390137,6.2,http://192.168.0.130:5000
94,1.5053324699401855,44.4,http://192.168.0.130:5000
95,0.8923201560974121,38.8,http://192.168.0.130:5000
96,0.37209033966064453,20.8,http://192.168.0.130:5000
97,0.5986204147338867,33.3,http://192.168.0.130:5000
98,1.214547872543335,40.8,http://192.168.0.130:5000
99,0.3285794258117676,19.0,http://192.168.0.130:5000
100,0.8034789562225342,39.0,http://192.168.0.130:5000
101,0.2223646640777588,0.0,http://192.168.0.130:5000
102,0.4703552722930908,30.2,http://192.168.0.130:5000
103,0.3117060661315918,17.5,http://192.168.0.130:5000
104,1.4228501319885254,42.3,http://192.168.0.130:5000
105,0.42939090728759766,25.0,http://192.168.0.130:5000
106,0.6217381954193115,33.3,http://192.168.0.130:5000
107,0.35696864128112793,30.4,http://192.168.0.130:5000
108,0.2802999019622803,13.9,http://192.168.0.130:5000
109,0.7032747268676758,38.0,http://192.168.0.130:5000
110,0.7432334423065186,40.4,http://192.168.0.130:5000
111,0.29384613037109375,15.8,http://192.168.0.130:5000
112,0.6177492141723633,31.2,http://192.168.0.130:5000
113,0.7178094387054443,34.8,http://192.168.0.130:5000
114,0.22580504417419434,3.6,http://192.168.0.130:5000
115,0.5758860111236572,33.8,http://192.168.0.130:5000
116,0.6783630847930908,34.8,http://192.168.0.130:5000
117,0.5748450756072998,32.1,http://192.168.0.130:5000
118,0.6178500652313232,32.9,http://192.168.0.130:5000
119,0.6430110931396484,32.9,http://192.168.0.130:5000
120,0.4026188850402832,26.9,http://192.168.0.130:5000
121,0.3272669315338135,14.3,http://192.168.0.130:5000
122,0.30257391929626465,13.2,http://192.168.0.130:5000
123,0.48821020126342773,33.3,http://192.168.0.130:5000
124,1.178905725479126,50.6,http://192.168.0.130:5000
125,0.35344743728637695,20.5,http://192.168.0.130:5000
126,0.36588096618652344,21.7,http://192.168.0.130:5000
