duration,block_number,CPU Usage,IP
0.34002089500427246,2,3.8,http://192.168.0.164:5000
0.3208291530609131,3,4.9,http://192.168.0.164:5000
0.41681838035583496,4,6.1,http://192.168.0.164:5000
0.3057265281677246,5,3.7,http://192.168.0.164:5000
0.41013526916503906,6,6.3,http://192.168.0.164:5000
0.30443787574768066,7,1.3,http://192.168.0.164:5000
0.3506782054901123,8,7.5,http://192.168.0.164:5000
0.3380165100097656,9,0.0,http://192.168.0.164:5000
0.330136775970459,10,2.5,http://192.168.0.164:5000
0.31087350845336914,11,2.6,http://192.168.0.164:5000
0.3632533550262451,12,8.4,http://192.168.0.164:5000
0.3683485984802246,13,5.0,http://192.168.0.164:5000
0.30399155616760254,14,2.5,http://192.168.0.164:5000
0.3254663944244385,15,4.9,http://192.168.0.164:5000
0.38452720642089844,16,3.7,http://192.168.0.164:5000
0.346998929977417,17,1.3,http://192.168.0.164:5000
0.35773134231567383,18,2.5,http://192.168.0.164:5000
0.33970046043395996,19,2.5,http://192.168.0.164:5000
0.29656481742858887,20,2.5,http://192.168.0.164:5000
0.3047935962677002,21,5.1,http://192.168.0.164:5000
0.3673593997955322,22,4.9,http://192.168.0.164:5000
0.38364195823669434,23,3.8,http://192.168.0.164:5000
0.4012751579284668,24,1.3,http://192.168.0.164:5000
0.29814839363098145,25,3.7,http://192.168.0.164:5000
0.3037855625152588,26,8.7,http://192.168.0.164:5000
0.3092682361602783,27,6.3,http://192.168.0.164:5000
0.34093379974365234,28,7.3,http://192.168.0.164:5000
0.31900644302368164,29,1.2,http://192.168.0.164:5000
0.3539304733276367,30,4.9,http://192.168.0.164:5000
0.4075162410736084,31,3.7,http://192.168.0.164:5000
0.450728178024292,32,1.3,http://192.168.0.164:5000
0.3708474636077881,33,3.8,http://192.168.0.164:5000
0.32260990142822266,34,3.8,http://192.168.0.164:5000
0.31981658935546875,35,4.9,http://192.168.0.164:5000
0.3255624771118164,36,6.2,http://192.168.0.164:5000
0.3004169464111328,37,5.0,http://192.168.0.164:5000
0.3380405902862549,38,4.9,http://192.168.0.164:5000
0.3990049362182617,39,7.7,http://192.168.0.164:5000
0.38009023666381836,40,4.9,http://192.168.0.164:5000
0.3665764331817627,41,6.1,http://192.168.0.164:5000
0.30124855041503906,42,3.7,http://192.168.0.164:5000
0.3147599697113037,43,4.9,http://192.168.0.164:5000
0.3124721050262451,44,2.5,http://192.168.0.164:5000
0.3077218532562256,45,2.5,http://192.168.0.164:5000
0.3884730339050293,46,4.9,http://192.168.0.164:5000
0.2918679714202881,47,4.9,http://192.168.0.164:5000
0.3483748435974121,48,3.7,http://192.168.0.164:5000
0.3570129871368408,49,7.3,http://192.168.0.164:5000
0.4002816677093506,50,2.5,http://192.168.0.164:5000
0.34588050842285156,51,1.3,http://192.168.0.164:5000
1.41070556640625,52,36.4,http://192.168.0.164:5000
0.3275172710418701,53,60.0,http://192.168.0.164:5000
0.30776476860046387,54,4.9,http://192.168.0.164:5000
0.30820441246032715,55,2.5,http://192.168.0.164:5000
0.32192301750183105,56,1.2,http://192.168.0.164:5000
0.45618247985839844,57,2.5,http://192.168.0.164:5000
0.35719823837280273,58,2.5,http://192.168.0.164:5000
0.3823206424713135,59,1.3,http://192.168.0.164:5000
0.307265043258667,60,1.2,http://192.168.0.164:5000
0.279329776763916,61,4.9,http://192.168.0.164:5000
0.33608031272888184,62,3.7,http://192.168.0.164:5000
0.4113333225250244,63,6.2,http://192.168.0.164:5000
0.47831082344055176,64,2.5,http://192.168.0.164:5000
0.3349936008453369,65,2.6,http://192.168.0.164:5000
0.341705322265625,66,6.2,http://192.168.0.164:5000
0.3252432346343994,67,4.9,http://192.168.0.164:5000
0.30309224128723145,68,1.2,http://192.168.0.164:5000
0.3354456424713135,69,3.8,http://192.168.0.164:5000
0.3147704601287842,70,3.7,http://192.168.0.164:5000
0.2956111431121826,71,1.3,http://192.168.0.164:5000
0.3603081703186035,72,1.2,http://192.168.0.164:5000
0.33706021308898926,73,1.2,http://192.168.0.164:5000
0.3422122001647949,74,2.5,http://192.168.0.164:5000
0.30469346046447754,75,4.9,http://192.168.0.164:5000
0.3300626277923584,76,6.2,http://192.168.0.164:5000
0.5942940711975098,77,1.3,http://192.168.0.164:5000
0.32132530212402344,78,3.7,http://192.168.0.164:5000
0.32189035415649414,79,0.0,http://192.168.0.164:5000
0.31694602966308594,80,4.9,http://192.168.0.164:5000
0.3681919574737549,81,3.8,http://192.168.0.164:5000
0.35451245307922363,82,9.6,http://192.168.0.164:5000
0.34795713424682617,83,2.5,http://192.168.0.164:5000
0.33891868591308594,84,6.1,http://192.168.0.164:5000
0.34319472312927246,85,4.9,http://192.168.0.164:5000
0.39451146125793457,86,3.7,http://192.168.0.164:5000
0.35518431663513184,87,6.2,http://192.168.0.164:5000
0.3410818576812744,88,3.7,http://192.168.0.164:5000
0.33287978172302246,89,2.5,http://192.168.0.164:5000
0.3443784713745117,90,1.3,http://192.168.0.164:5000
