block_number,duration,CPU Usage,IP
2,0.7290971279144287,43.0,http://192.168.0.133:5000
3,0.22212576866149902,11.1,http://192.168.0.133:5000
4,0.509852409362793,20.5,http://192.168.0.133:5000
5,0.7798898220062256,28.4,http://192.168.0.133:5000
6,1.5881502628326416,30.8,http://192.168.0.133:5000
7,0.2753560543060303,13.2,http://192.168.0.133:5000
8,0.8364424705505371,26.5,http://192.168.0.133:5000
9,0.5656387805938721,24.7,http://192.168.0.133:5000
10,0.35661816596984863,14.1,http://192.168.0.133:5000
11,0.6822748184204102,25.9,http://192.168.0.133:5000
12,0.4885566234588623,19.3,http://192.168.0.133:5000
13,0.28197193145751953,14.5,http://192.168.0.133:5000
14,0.45283055305480957,21.5,http://192.168.0.133:5000
15,0.46428918838500977,16.9,http://192.168.0.133:5000
16,0.8454515933990479,24.8,http://192.168.0.133:5000
17,0.4203457832336426,14.1,http://192.168.0.133:5000
18,0.739558219909668,22.2,http://192.168.0.133:5000
19,0.5140852928161621,31.4,http://192.168.0.133:5000
20,0.28885507583618164,16.1,http://192.168.0.133:5000
21,0.48517870903015137,29.8,http://192.168.0.133:5000
22,0.7110984325408936,35.3,http://192.168.0.133:5000
23,0.24958419799804688,14.3,http://192.168.0.133:5000
24,1.3626112937927246,41.8,http://192.168.0.133:5000
25,1.2205078601837158,26.8,http://192.168.0.133:5000
26,0.539982795715332,20.9,http://192.168.0.133:5000
27,0.44748902320861816,14.9,http://192.168.0.133:5000
28,0.45380210876464844,15.8,http://192.168.0.133:5000
29,0.2236495018005371,4.5,http://192.168.0.133:5000
30,0.40949010848999023,22.9,http://192.168.0.133:5000
31,0.2168569564819336,4.8,http://192.168.0.133:5000
32,0.29967498779296875,12.5,http://192.168.0.133:5000
33,0.28513598442077637,11.1,http://192.168.0.133:5000
34,0.23167085647583008,11.6,http://192.168.0.133:5000
35,0.35981297492980957,15.9,http://192.168.0.133:5000
36,0.3113837242126465,12.1,http://192.168.0.133:5000
37,0.994178295135498,26.9,http://192.168.0.133:5000
38,1.493680715560913,28.8,http://192.168.0.133:5000
39,2.1698336601257324,33.7,http://192.168.0.133:5000
40,0.6142067909240723,16.7,http://192.168.0.133:5000
41,0.2030775547027588,4.9,http://192.168.0.133:5000
42,1.3201744556427002,42.7,http://192.168.0.133:5000
43,0.6660025119781494,21.7,http://192.168.0.133:5000
44,0.3241233825683594,10.5,http://192.168.0.133:5000
45,0.7126567363739014,27.7,http://192.168.0.133:5000
46,0.47652506828308105,19.5,http://192.168.0.133:5000
47,0.2819938659667969,9.6,http://192.168.0.133:5000
48,0.5444600582122803,21.5,http://192.168.0.133:5000
49,1.70820951461792,27.9,http://192.168.0.133:5000
50,0.2914860248565674,9.4,http://192.168.0.133:5000
51,0.6649062633514404,21.7,http://192.168.0.133:5000
52,0.2808806896209717,13.0,http://192.168.0.133:5000
53,0.32105278968811035,22.6,http://192.168.0.133:5000
54,0.38334107398986816,15.4,http://192.168.0.133:5000
55,0.6270215511322021,29.0,http://192.168.0.133:5000
56,0.25542759895324707,8.3,http://192.168.0.133:5000
57,0.35469698905944824,18.2,http://192.168.0.133:5000
58,0.2390763759613037,8.9,http://192.168.0.133:5000
59,2.007021427154541,27.7,http://192.168.0.133:5000
60,1.058152675628662,33.7,http://192.168.0.133:5000
61,0.38733434677124023,17.9,http://192.168.0.133:5000
62,0.3295762538909912,31.7,http://192.168.0.133:5000
63,0.5085792541503906,31.7,http://192.168.0.133:5000
64,0.39394712448120117,24.7,http://192.168.0.133:5000
65,0.6222951412200928,33.9,http://192.168.0.133:5000
66,0.20346355438232422,2.4,http://192.168.0.133:5000
67,0.4202408790588379,32.9,http://192.168.0.133:5000
68,0.5965218544006348,37.7,http://192.168.0.133:5000
69,0.6266775131225586,33.6,http://192.168.0.133:5000
70,0.680631160736084,36.3,http://192.168.0.133:5000
71,1.851654291152954,44.9,http://192.168.0.133:5000
72,0.7799065113067627,25.4,http://192.168.0.133:5000
73,0.2220463752746582,6.8,http://192.168.0.133:5000
74,0.23177409172058105,4.4,http://192.168.0.133:5000
75,0.28022098541259766,23.5,http://192.168.0.133:5000
76,0.5400617122650146,24.1,http://192.168.0.133:5000
77,0.7101325988769531,19.6,http://192.168.0.133:5000
78,0.25173068046569824,8.3,http://192.168.0.133:5000
79,0.29745054244995117,7.7,http://192.168.0.133:5000
80,0.26351165771484375,8.0,http://192.168.0.133:5000
81,1.135364294052124,22.8,http://192.168.0.133:5000
82,0.5225358009338379,21.1,http://192.168.0.133:5000
83,0.45499324798583984,21.3,http://192.168.0.133:5000
84,0.20232844352722168,0.0,http://192.168.0.133:5000
85,0.3292372226715088,13.3,http://192.168.0.133:5000
86,0.3012430667877197,9.1,http://192.168.0.133:5000
87,0.3261103630065918,16.4,http://192.168.0.133:5000
88,0.38799357414245605,13.4,http://192.168.0.133:5000
89,0.3115849494934082,12.5,http://192.168.0.133:5000
90,0.4383273124694824,22.2,http://192.168.0.133:5000
91,0.41697216033935547,18.7,http://192.168.0.133:5000
92,0.6737775802612305,24.3,http://192.168.0.133:5000
93,0.5418646335601807,19.1,http://192.168.0.133:5000
94,0.4091489315032959,25.9,http://192.168.0.133:5000
95,0.5670294761657715,37.8,http://192.168.0.133:5000
96,0.3112657070159912,16.7,http://192.168.0.133:5000
97,0.7580838203430176,38.7,http://192.168.0.133:5000
98,0.5590031147003174,36.7,http://192.168.0.133:5000
99,0.39746546745300293,32.1,http://192.168.0.133:5000
100,1.39314603805542,42.9,http://192.168.0.133:5000
101,0.3013474941253662,12.5,http://192.168.0.133:5000
102,0.42725658416748047,13.9,http://192.168.0.133:5000
103,0.4316830635070801,18.4,http://192.168.0.133:5000
104,0.7527017593383789,22.3,http://192.168.0.133:5000
105,0.49694085121154785,17.1,http://192.168.0.133:5000
106,0.6558489799499512,22.9,http://192.168.0.133:5000
107,0.5369219779968262,18.0,http://192.168.0.133:5000
108,0.5329451560974121,19.1,http://192.168.0.133:5000
109,0.6998584270477295,20.5,http://192.168.0.133:5000
110,0.6914684772491455,20.9,http://192.168.0.133:5000
111,0.4232039451599121,21.1,http://192.168.0.133:5000
112,0.3122379779815674,10.7,http://192.168.0.133:5000
113,0.397599458694458,19.4,http://192.168.0.133:5000
114,0.5863847732543945,25.5,http://192.168.0.133:5000
115,0.5876460075378418,24.0,http://192.168.0.133:5000
116,0.4237234592437744,15.3,http://192.168.0.133:5000
117,0.6009323596954346,33.9,http://192.168.0.133:5000
118,0.2818417549133301,16.1,http://192.168.0.133:5000
119,0.22594928741455078,6.5,http://192.168.0.133:5000
120,0.6368186473846436,39.3,http://192.168.0.133:5000
121,0.4982330799102783,32.0,http://192.168.0.133:5000
122,0.4516274929046631,29.2,http://192.168.0.133:5000
123,0.409923791885376,26.3,http://192.168.0.133:5000
124,0.31289052963256836,21.3,http://192.168.0.133:5000
125,1.1880779266357422,41.6,http://192.168.0.133:5000
126,0.4439668655395508,19.5,http://192.168.0.133:5000
127,0.7809786796569824,24.8,http://192.168.0.133:5000
