block_number,CPU Usage,IP
169,2.7,http://192.168.0.176:5000
170,2.7,http://192.168.0.176:5000
171,4.0,http://192.168.0.176:5000
172,2.6,http://192.168.0.176:5000
173,1.8,http://192.168.0.176:5000
174,5.1,http://192.168.0.176:5000
175,5.0,http://192.168.0.176:5000
176,2.4,http://192.168.0.176:5000
177,1.7,http://192.168.0.176:5000
178,3.6,http://192.168.0.176:5000
179,3.6,http://192.168.0.176:5000
180,3.5,http://192.168.0.176:5000
181,2.4,http://192.168.0.176:5000
182,2.3,http://192.168.0.176:5000
183,2.7,http://192.168.0.176:5000
184,3.9,http://192.168.0.176:5000
185,5.3,http://192.168.0.176:5000
186,4.9,http://192.168.0.176:5000
187,2.0,http://192.168.0.176:5000
188,1.7,http://192.168.0.176:5000
189,2.0,http://192.168.0.176:5000
190,14.3,http://192.168.0.176:5000
191,3.4,http://192.168.0.176:5000
192,2.0,http://192.168.0.176:5000
193,3.4,http://192.168.0.176:5000
194,2.9,http://192.168.0.176:5000
195,1.6,http://192.168.0.176:5000
196,5.6,http://192.168.0.176:5000
197,4.0,http://192.168.0.176:5000
198,3.7,http://192.168.0.176:5000
199,3.4,http://192.168.0.176:5000
200,3.2,http://192.168.0.176:5000
201,1.8,http://192.168.0.176:5000
